['(727,314)', '(775,314)', '(775,332)', '(727,332)']
['(781,314)', '(804,314)', '(804,332)', '(781,332)']
['(810,315)', '(841,315)', '(841,333)', '(810,333)']
['(848,314)', '(916,315)', '(916,334)', '(848,333)']
['(920,316)', '(975,317)', '(975,335)', '(920,334)']
['(975,316)', '(982,316)', '(982,334)', '(975,334)']
['(585,344)', '(650,344)', '(650,364)', '(585,364)']
['(656,344)', '(742,345)', '(742,365)', '(656,364)']
['(744,345)', '(749,345)', '(749,365)', '(744,365)']
['(755,345)', '(821,345)', '(821,365)', '(755,365)']
['(827,345)', '(916,346)', '(916,367)', '(827,366)']
['(915,346)', '(921,346)', '(921,366)', '(915,366)']
['(926,346)', '(993,346)', '(993,366)', '(926,366)']
['(584,375)', '(635,375)', '(635,394)', '(584,394)']
['(634,375)', '(640,375)', '(640,394)', '(634,394)']
['(645,375)', '(691,375)', '(691,394)', '(645,394)']
['(696,375)', '(749,375)', '(749,394)', '(696,394)']
['(753,375)', '(839,375)', '(839,394)', '(753,394)']
['(841,375)', '(846,375)', '(846,394)', '(841,394)']
['(852,375)', '(872,375)', '(872,394)', '(852,394)']
['(876,375)', '(929,375)', '(929,394)', '(876,394)']
['(930,375)', '(934,375)', '(934,394)', '(930,394)']
['(584,408)', '(620,408)', '(620,427)', '(584,427)']
['(625,408)', '(673,408)', '(673,427)', '(625,427)']
['(678,408)', '(713,408)', '(713,428)', '(678,428)']
['(717,409)', '(733,409)', '(733,428)', '(717,428)']
['(731,409)', '(747,409)', '(747,428)', '(731,428)']
['(747,409)', '(761,409)', '(761,428)', '(747,428)']
['(764,409)', '(803,409)', '(803,428)', '(764,428)']
['(809,410)', '(823,410)', '(823,429)', '(809,429)']
['(828,410)', '(858,410)', '(858,429)', '(828,429)']
['(865,410)', '(925,411)', '(925,431)', '(865,430)']
['(929,411)', '(967,411)', '(967,430)', '(929,430)']
['(972,411)', '(994,411)', '(994,430)', '(972,430)']
['(585,439)', '(650,440)', '(650,458)', '(585,457)']
['(656,439)', '(728,440)', '(728,459)', '(656,458)']
['(734,440)', '(754,440)', '(754,458)', '(734,458)']
['(758,440)', '(790,440)', '(790,458)', '(758,458)']
['(796,440)', '(882,441)', '(882,460)', '(796,459)']
['(887,440)', '(988,441)', '(988,460)', '(887,459)']
['(990,442)', '(1012,442)', '(1012,460)', '(990,460)']
['(584,469)', '(718,470)', '(718,490)', '(584,489)']
['(721,470)', '(761,470)', '(761,489)', '(721,489)']
['(767,470)', '(852,470)', '(852,490)', '(767,490)']
['(857,471)', '(889,471)', '(889,490)', '(857,490)']
['(894,471)', '(943,471)', '(943,490)', '(894,490)']
['(945,471)', '(975,471)', '(975,490)', '(945,490)']
['(977,472)', '(1011,472)', '(1011,491)', '(977,491)']
['(585,500)', '(623,500)', '(623,516)', '(585,516)']
['(630,500)', '(675,500)', '(675,516)', '(630,516)']
['(681,500)', '(716,500)', '(716,516)', '(681,516)']
['(721,500)', '(759,500)', '(759,516)', '(721,516)']
['(763,500)', '(769,500)', '(769,516)', '(763,516)']
['(550,560)', '(577,560)', '(577,584)', '(550,584)']
['(586,559)', '(697,560)', '(697,585)', '(586,584)']
['(551,596)', '(564,596)', '(564,615)', '(551,615)']
['(584,596)', '(665,596)', '(665,615)', '(584,615)']
['(667,596)', '(701,596)', '(701,615)', '(667,615)']
['(705,596)', '(750,596)', '(750,615)', '(705,615)']
['(755,596)', '(828,596)', '(828,615)', '(755,615)']
['(832,596)', '(854,596)', '(854,615)', '(832,615)']
['(859,596)', '(905,596)', '(905,615)', '(859,615)']
['(910,596)', '(980,596)', '(980,615)', '(910,615)']
['(583,627)', '(611,625)', '(612,641)', '(584,643)']
['(615,626)', '(658,626)', '(658,647)', '(615,647)']
['(664,626)', '(729,625)', '(729,645)', '(664,646)']
['(736,625)', '(758,625)', '(758,645)', '(736,645)']
['(763,625)', '(794,625)', '(794,645)', '(763,645)']
['(800,625)', '(847,625)', '(847,645)', '(800,645)']
['(853,624)', '(887,624)', '(887,644)', '(853,644)']
['(892,624)', '(907,624)', '(907,644)', '(892,644)']
['(905,624)', '(920,624)', '(920,644)', '(905,644)']
['(921,624)', '(934,624)', '(934,644)', '(921,644)']
['(939,623)', '(979,623)', '(979,644)', '(939,644)']
['(981,623)', '(1012,623)', '(1012,643)', '(981,643)']
['(584,656)', '(626,656)', '(626,672)', '(584,672)']
['(633,656)', '(673,656)', '(673,672)', '(633,672)']
['(680,656)', '(724,656)', '(724,672)', '(680,672)']
['(730,656)', '(764,656)', '(764,672)', '(730,672)']
['(770,657)', '(809,657)', '(809,673)', '(770,673)']
['(812,657)', '(819,657)', '(819,673)', '(812,673)']
['(585,691)', '(609,691)', '(609,709)', '(585,709)']
['(614,691)', '(678,691)', '(678,709)', '(614,709)']
['(684,691)', '(723,691)', '(723,709)', '(684,709)']
['(728,691)', '(771,691)', '(771,709)', '(728,709)']
['(776,691)', '(816,691)', '(816,709)', '(776,709)']
['(822,692)', '(847,692)', '(847,710)', '(822,710)']
['(853,692)', '(890,692)', '(890,710)', '(853,710)']
['(895,692)', '(915,692)', '(915,710)', '(895,710)']
['(920,692)', '(1001,692)', '(1001,710)', '(920,710)']
['(585,721)', '(663,721)', '(663,737)', '(585,737)']
['(668,721)', '(699,721)', '(699,737)', '(668,737)']
['(706,721)', '(742,721)', '(742,737)', '(706,737)']
['(748,721)', '(769,721)', '(769,737)', '(748,737)']
['(773,721)', '(852,721)', '(852,738)', '(773,738)']
['(856,722)', '(874,722)', '(874,738)', '(856,738)']
['(879,722)', '(912,722)', '(912,738)', '(879,738)']
['(915,722)', '(957,722)', '(957,738)', '(915,738)']
['(584,751)', '(652,751)', '(652,767)', '(584,767)']
['(653,751)', '(658,751)', '(658,766)', '(653,766)']
['(584,787)', '(619,787)', '(619,805)', '(584,805)']
['(625,787)', '(670,787)', '(670,805)', '(625,805)']
['(675,787)', '(709,787)', '(709,805)', '(675,805)']
['(716,787)', '(800,787)', '(800,805)', '(716,805)']
['(806,787)', '(819,787)', '(819,805)', '(806,805)']
['(825,787)', '(846,787)', '(846,805)', '(825,805)']
['(853,787)', '(934,787)', '(934,805)', '(853,805)']
['(938,787)', '(969,787)', '(969,805)', '(938,805)']
['(972,787)', '(983,787)', '(983,805)', '(972,805)']
['(583,816)', '(683,815)', '(683,835)', '(583,836)']
['(689,815)', '(730,815)', '(730,834)', '(689,834)']
['(736,815)', '(759,815)', '(759,834)', '(736,834)']
['(761,814)', '(810,814)', '(810,834)', '(761,834)']
['(809,814)', '(815,814)', '(815,833)', '(809,833)']
['(550,851)', '(563,851)', '(563,872)', '(550,872)']
['(584,851)', '(632,851)', '(632,872)', '(584,872)']
['(635,851)', '(710,851)', '(710,872)', '(635,872)']
['(714,851)', '(806,851)', '(806,873)', '(714,873)']
['(811,852)', '(858,852)', '(858,873)', '(811,873)']
['(859,852)', '(865,852)', '(865,873)', '(859,873)']
['(870,852)', '(985,852)', '(985,873)', '(870,873)']
